Title,Year,Director,Rating,
Perfect Sense (2011),2011,David Mackenzie,7.0,
The Darkest Hour (2011),2011,Chris Gorak,4.9,
The Day (2011),N/A,Unknown,N/A,
The Divide (2011),2011,Xavier Gens,5.8,
Melancholia (2011),2011,Lars von Trier,7.1,
Hell (2011),2011,Unknown,8.3,
Take Shelter (2011),2011,Jeff Nichols,7.3,
Rise of the Planet of the Apes (2011),2011,Rupert Wyatt,7.6,
The Cabin in the Woods (2011),2011,Drew Goddard,7.0,
The Hunger Games (2012),2012,Gary Ross,7.2,
Seeking a Friend for the End of the World (2012),2012,Lorene Scafaria,6.7,
5 Shells (2012),2012,Paul Myers,4.5,
Dredd (2012),2012,Pete Travis,7.1,
It's a Disaster (2012),2020,Unknown,N/A,
Battle: Los Angeles (2012),2011,Jonathan Liebesman,5.7,
Resident Evil: Retribution (2012),2012,Paul W.S. Anderson,5.3,
Resident Evil: Damnation (2012),2012,Makoto Kamiya,6.4,
Cloud Atlas (2012),2012,Tom Tykwer,7.4,
Cockneys vs Zombies (2012),2012,Matthias Hoene,5.9,
The Battery (2012),2012,Jeremy Gardner,6.3,
Rapture-Palooza (2013),2013,Paul Middleditch,5.2,
The Colony (2013),2013,Jeff Renfroe,5.3,
These Final Hours (2013),2013,Zak Hilditch,6.6,
This Is the End (2013),2013,Evan Goldberg,6.6,
After the Dark (2013),2013,John Huddles,5.6,
After Earth (2013),2013,M. Night Shyamalan,4.8,
Los Últimos Días (2013),2013,David Pastor,6.1,
Antisocial (2013),2013,Cody Calahan,4.5,
Snowpiercer (2013),2013,Bong Joon Ho,7.1,
Oblivion (2013),2013,Joseph Kosinski,7.0,
Warm Bodies (2013),2013,Jonathan Levine,6.8,
World War Z (2013),2013,Marc Forster,7.0,
Edge of Tomorrow (2013),2014,Doug Liman,7.9,
Forever's End (2013),2013,J.C. Schroder,4.7,
The World's End (2013),2013,Edgar Wright,6.9,
The Host (2013),N/A,Unknown,N/A,
Goodbye World (2013),2013,Denis Henry Hennelly,5.4,
Die Gstettensaga: The Rise of Echsenfriedl (2014),2014,Johannes Grenzfurthner,5.2,
Wyrmwood: Road of the Dead (2014),2014,Kiah Roache-Turner,6.2,
The Rover (2014),2014,David Michôd,6.4,
Zodiac: Signs of the Apocalypse (2014),2014,W.D. Hogan,3.3,
X-Men: Days of Future Past (2014),2014,Bryan Singer,7.9,
Young Ones (2014),2014,Jake Paltrow,5.8,
Aftermath (2014),2014,Péter Engert,4.8,
The Maze Runner (2014),2014,Wes Ball,6.8,
Dawn of the Planet of the Apes (2014),2014,Matt Reeves,7.6,
Interstellar (2014),2014,Christopher Nolan,8.7,
The Last Survivors (2014),2014,Tom Hammock,5.3,
Noah (2014),2014,Darren Aronofsky,5.8,
Autómata (2014),2014,Gabe Ibáñez,6.0,
Scouts Guide to the Zombie Apocalypse (2015),2015,Christopher Landon,6.3,
Crumbs (2015),2015,Miguel Llansó,5.9,
Turbo Kid (2015),2015,François Simard,6.7,
Z for Zachariah (2015),2015,Craig Zobel,6.0,
The End of the World and the Cat's Disappearance (2015),2023,Unknown,7.2,
The Walking Deceased (2015),2019,Phoenix West,N/A,
Extinction (2015),2015,Miguel Ángel Vivas,5.8,
Hidden (2015),2015,Matt Duffer,6.4,
Air (2015),2015,Christian Cantamessa,5.1,
Into the Forest (2015),2015,Patricia Rozema,5.8,
JeruZalem (2015),2015,Doron Paz,4.8,
The Survivalist (2015),2015,Stephen Fingleton,6.4,
Attack on Titan (2015),2013,Unknown,9.1,
Terminator Genisys (2015),2015,Alan Taylor,6.3,
